niche,color_mood,motion_style,scene_type,camera_behavior,typical_interactions,lighting_preset,3d_elements,reference_brands,avoid
Luxury Fashion,monochrome + gold accents,slow + fluid,product pedestal / runway,slow orbit + dolly,hover to rotate; scroll to zoom,soft studio rim,fabric simulation; floating particles,Burberry; Jacquemus; Bottega Veneta,busy UI; bright colors; fast motion
Automotive,dark + metallic,cinematic + precise,turntable garage; open road,orbit + dramatic sweeps,drag to spin; hotspot reveal,dramatic key light + ground reflect,car body; engine parts; tire detail,BMW; Rolls-Royce; Porsche,cartoonish styles; pastel palettes
Gaming Esports,dark + neon,aggressive + snappy,arena; abstract space; HUD,fast cuts; reactive to cursor,click for burst; idle animations,volumetric neon; flicker effects,weapons; characters; UI shards,Riot Games; Epic; NVIDIA,soft pastels; minimal motion
Architecture,neutral + earthy tones,calm + purposeful,building exterior + interior walkthrough,smooth fly-through; pan,click room to enter; orbit exterior,daylight HDRI; golden hour,structural mesh; glass panels,Zaha Hadid Architects; BIG; Kengo Kuma,cluttered UI; fast transitions
Health Wellness,soft greens + white,gentle + breathing,organic landscape; body visualization,slow drift; parallax,scroll to explore; breathe prompt,warm diffuse; soft sky,leaf; cell; DNA; body outline,Headspace; Calm; Hims,harsh contrast; dark themes; fast motion
Crypto Web3,dark + electric blue/purple,glitchy + dynamic,blockchain nodes; abstract space,zoom + rotation on demand,connect wallet; hover nodes,emissive nodes; lens flare,network graph; coin; token,Metamask; Opensea; Uniswap,traditional serif; muted tones
Fintech Banking,navy + clean white,minimal + confident,data dashboard; globe,subtle parallax; no gimmicks,filter data; hover chart,professional studio; cool tones,bar charts 3D; globe connections,Stripe; Robinhood; Revolut,gimmicky effects; chaotic layouts
Education,warm + inviting,friendly + paced,classroom; floating concepts,gentle orbit; guided path,click to learn; drag concept,warm classroom; bright,books; atoms; geometric shapes,Duolingo; Khan Academy; Coursera,cold dark themes; overwhelming motion
Pharmaceutical Biotech,clinical white + teal,precise + informative,molecule; cell; lab,slow rotation; zoom on click,rotate molecule; hotspot label,clean clinical; sterile white,molecular structure; DNA; pill,Pfizer; Moderna; 23andMe,dark edgy themes; aggressive motion
Food Beverage,warm + appetizing,mouth-watering + slow,product close-up; kitchen scene,slow dolly in; gentle orbit,rotate bottle; pour animation,warm food lighting; practicals,liquid simulation; ingredient particles,Gatorade; Aesop; Illy,dark moods; clinical coldness
Real Estate,warm neutral,confident + graceful,building exterior; floor plan 3D,fly-in approach; walk-through,click room to explore,golden hour HDRI; architectural,interior scene; city skyline,Zillow; Sothebys; Compass,toy-like aesthetics; fast cuts
Music Entertainment,dark + vivid accent,reactive + rhythmic,concert stage; abstract visualizer,orbit; beat-reactive camera,audio-reactive; equalizer bars,stage lighting; spotlights,speaker; waveform; vinyl record,Spotify; Apple Music; Deezer,corporate stiffness; no motion
Sports,bold + energetic,fast + impactful,stadium; field; player model,sweeping cinematic,hotspot stats; highlight reel,stadium lighting; dramatic,jersey; equipment; trophy,Nike; Adidas; ESPN,slow elegant motion; pale colors
Travel Tourism,vibrant + airy,smooth + wanderlust,globe; landmark; landscape,globe spin; zoom to destination,click destination; explore hotspot,golden hour; travel blue sky,landmarks; airplane; globe,Airbnb; Booking; Tripadvisor,dark moody themes; claustrophobic
Cybersecurity,dark + red/green alert,tense + precise,network grid; threat map,grid pan; alert pulse,click threat node; run scan,terminal green glow; red alerts,firewall mesh; lock icon; code stream,CrowdStrike; Cloudflare; Palo Alto,playful pastels; chaotic motion
Jewelry Watches,ultra dark + gem glow,ultra slow + precise,product pedestal; gem closeup,controlled orbit; macro zoom,drag to inspect; light shift,gem caustics; rim highlight,diamond facets; metal links,Rolex; Tiffany; Cartier,busy backgrounds; fast animation
SaaS Productivity,light + clean blue,snappy + purposeful,dashboard UI; workflow diagram,fixed + scroll parallax,hover feature; tooltip,professional studio; cool white,UI mockup; connection nodes,Notion; Linear; Figma,dark heavy themes; overcomplicated 3D
Environmental Climate,earthy + hopeful,breathing + organic,earth globe; forest; data map,slow globe spin; timeline scrub,scrub timeline; region hover,natural HDRI; sun shafts,CO2 particles; wind turbines; globe,NASA; WWF; IPCC,aggressive dark themes; cold tone
NFT Digital Art,black + iridescent,glitchy + expressive,floating artwork; gallery,orbit + spotlight,pick artwork; full-screen view,gallery spot lighting; iridescent,frame; particle reveal,Foundation; SuperRare; Nifty Gateway,corporate conservative look
Fitness Performance,dark + electric orange,pumped + kinetic,gym scene; body mesh; data rings,reactive to scroll; dramatic,start timer; log set,high contrast spot; floor shadow,muscle highlight; ring chart; barbell,Whoop; Peloton; Nike Training,delicate soft motion; pastel tones
Robotics Hardware,industrial dark,methodical + precise,product exploded view; assembly,controlled orbit; zoom component,click part to label,industrial key light; ground shadow,gear; circuit; arm joint,Boston Dynamics; ABB; DJI,playful; cute; organic curves
Interior Design,warm neutral,calm + deliberate,room scene; material selector,walk-through; detail zoom,swap material; sunlight time,HDRI indoor; golden hour,sofa; texture swatch; room,Hem; Herman Miller; Muuto,harsh lighting; chaotic motion
Aerospace Defense,dark military + blue,precise + cinematic,satellite; jet; planet orbit,cinematic flyby; orbit,click system; mission path,deep space HDRI; cold light,satellite mesh; trajectory arc,SpaceX; Lockheed; Airbus,pastel; playful; consumer-y
Beauty Cosmetics,soft pink + gold,smooth + sensuous,product bottle; skin visualization,slow glamour orbit,shade selector; hover glow,beauty ring light; soft gradient,lipstick; serum droplet; skin mesh,Fenty Beauty; Charlotte Tilbury; NARS,harsh industrial look; aggressive
Healthcare Devices,clinical white + teal,informative + calm,medical device; body scan,controlled orbit; zoom detail,rotate device; hotspot explainer,medical studio white; clean,MRI device; organ outline,Medtronic; Philips Healthcare; Stryker,dark themes; chaotic animation
