pattern_name,entry_animation,scroll_behavior,section_transition,exit_animation,nav_type,cursor_style,use_case,scroll_library,complexity
Hero Takeover,Full-screen 3D scene fades in over 1.2s,Scroll shrinks hero; 3D recedes,Snap-scroll between sections,3D dissolves out,Fixed minimal overlay,Default,SaaS landing; portfolio hero,Lenis,medium
Infinite Scroll Narrative,Particles assemble on load,Camera moves forward through scene,Cross-fade with depth shift,Reverse camera pull,Sticky side dots,None,Storytelling; brand narrative,ScrollTrigger + GSAP,high
Product Turntable,Product floats in with scale+fade,Rotate product on scroll,Slide to next product view,Scale down + fade,Top fixed standard,Grab cursor on product,E-commerce product detail,Lenis + ScrollTrigger,medium
Scroll Hijack Journey,Black screen builds scene in,Full hijack one frame per unit,Hard cut to next chapter,Zoom into black,Hidden; keyboard nav,Custom animated,Immersive brand experience,Locomotive Scroll,very high
Parallax Layers,Background loads first; foreground stacks,Multiple depth layers different speeds,Layer blend into next section,Layers slide apart,Standard transparent,None,Agency; editorial; lifestyle,Lenis,low
Horizontal Scroll,Slide in from right,Horizontal scroll through cards,Cards slide left on scroll,Slide off left edge,Fixed left arrow nav,None,Portfolio; timeline; roadmap,Embla or GSAP,medium
Split Screen Reveal,Left + right panels slide from edges,Alternating left/right reveals,Panels cross-fade on scroll,Panels merge then fade,Fixed top bar,None,Comparison; dual story,ScrollTrigger,medium
Fullpage Snap,Scene fades per section,Snap to full-page sections,Snap with scale transition,Reverse snap exit,Fixed dot nav on right,None,Presentation; pitch deck site,fullpage.js or GSAP,low
Zoom Into Scene,Wide scene loads; camera zooms in,Scroll drives camera forward,Object fills screen then transitions,Camera pulls back to wide,None; cursor nav,Magnify on hover,Product detail; architectural,GSAP ScrollTrigger,high
Floating Menu World,Objects float in staggered on load,Hover reveals desc; scroll dims others,Click section expand inline,Object shrinks + fades,Object-based nav,Pointer cursor on 3D,Creative portfolio; art direction,Lenis,very high
Orbital Navigation,Central object; nav items orbit,Scroll shifts orbital angle,Orbit snaps to selected nav node,Orbit disperses,Orbital items as nav,Custom circular,Agency; creative studio,GSAP motionPath,very high
Page Morphing,Shape morphs into layout on load,Morph background shape on scroll,SVG morph to next section,Shape shrinks out,Top fixed,None,Brand identity; design studio,Lenis + GSAP morphSVG,high
Minimal Fade Sequence,Clean white fade in,Subtle parallax; content fades at threshold,Simple cross-fade,Fade to white,Standard top nav,None,Editorial; luxury; corporate,IntersectionObserver,low
Card Stack Reveal,Cards stacked; reveal top first,Scroll pops cards off stack,Stack shrinks to single card,Card flies off screen,Fixed minimal,None,Portfolio grid; case studies,GSAP,medium
3D Menu Overlay,Standard page; 3D scene on menu open,Page scrolls normally; menu is overlay,Menu overlays with 3D transition,3D scene collapses,Hamburger to full-screen 3D,None,Agency with 3D feature,Three.js overlay,high
Gradient Mesh Scroll,Gradient mesh loads and breathes,Mesh colors shift on scroll position,Mesh transitions hue,Mesh fades to solid,Sticky top minimal,None,SaaS; tech product; startup,Lenis + custom shader,medium
Canvas Particle World,Particles form logo on load,Scroll disperses + reforms particles,Particle burst to next logo form,Particles dissolve to black,Particle-based nav items,Hover repels particles,Creative; music; digital art,Three.js + GSAP,very high
Sticky Section Layers,First section locks; layers stack,Each section scrolls over previous,Layer slides from bottom up,Last section slides off,Standard + progress bar,None,Storytelling; product walkthrough,ScrollTrigger pin,medium
Audio-Reactive Layout,Visualizer bars form layout on load,Audio plays on scroll; layout reacts,Beat-drop triggers section transition,Fade to silence visual,Waveform nav,Play cursor,Music; entertainment; event,Three.js + Web Audio API,very high
Breadcrumb Path,Path draws on canvas as page loads,Scroll extends path forward,Path node expands to section,Path rewinds,Path nodes as nav,Follow cursor,Onboarding; tutorial; journey,GSAP DrawSVG,high
